type_id,group_id,type_name,group_name,category_id,category_name
0,0,#System,#System,0,#System
2,2,Corporation,Corporation,1,Owner
3,3,Region,Region,2,Celestial
4,4,Constellation,Constellation,2,Celestial
5,5,Solar System,Solar System,2,Celestial
6,6,Sun G5 (Yellow),Sun,2,Celestial
7,6,Sun K7 (Orange),Sun,2,Celestial
8,6,Sun K5 (Red Giant),Sun,2,Celestial
9,6,Sun B0 (Blue),Sun,2,Celestial
10,6,Sun F0 (White),Sun,2,Celestial
11,7,Planet (Temperate),Planet,2,Celestial
12,7,Planet (Ice),Planet,2,Celestial
13,7,Planet (Gas),Planet,2,Celestial
14,8,Moon,Moon,2,Celestial
15,9,Asteroid Belt,Asteroid Belt,2,Celestial
16,10,Stargate (Caldari System),Stargate,2,Celestial
17,10,Stargate (Amarr Constellation),Stargate,2,Celestial
18,458,Plagioclase,Plagioclase,25,Asteroid
19,461,Spodumain,Spodumain,25,Asteroid
20,457,Kernite,Kernite,25,Asteroid
21,454,Hedbergite,Hedbergite,25,Asteroid
22,450,Arkonor,Arkonor,25,Asteroid
23,12,Cargo Container,Cargo Container,2,Celestial
24,13,Ring,Ring,2,Celestial
25,14,Corpse Male,Biomass,2,Celestial
26,16,Office Folder,Station Services,3,Station
27,16,Office,Station Services,3,Station
28,16,Factory Folder,Station Services,3,Station
29,17,Credits,Money,4,Material
30,19,Faction,Faction,1,Owner
34,18,Tritanium,Mineral,4,Material
35,18,Pyerite,Mineral,4,Material
36,18,Mexallon,Mineral,4,Material
37,18,Isogen,Mineral,4,Material
38,18,Nocxium,Mineral,4,Material
39,18,Zydrine,Mineral,4,Material
40,18,Megacyte,Mineral,4,Material
41,280,Garbage,General,17,Commodity
42,280,Spiced Wine,General,17,Commodity
43,280,Antibiotics,General,17,Commodity
44,1034,Enriched Uranium,Refined Commodities - Tier 2,43,Planetary Commodities
45,281,Frozen Plant Seeds,Frozen,17,Commodity
49,24,Player Kill,Voucher,5,Accessories
50,24,Company Shares,Voucher,5,Accessories
51,24,Bookmark,Voucher,5,Accessories
52,94,Trading,Trading,10,Trading
53,95,Trade Session,Trade Session,10,Trading
54,15,Caldari Logistics Station,Station,3,Station
56,15,Gallente Military Station,Station,3,Station
57,15,Gallente Station Hub,Station,3,Station
58,15,C-O-1,Station,3,Station
59,15,C-O-2,Station,3,Station
60,1319,Asset Safety Wrap,Miscellaneous,29,Abstract
164,23,Clone Grade Alpha,Clone,5,Accessories
165,23,Clone Grade Beta,Clone,5,Accessories
166,23,Clone Grade Gamma,Clone,5,Accessories
178,83,Carbonized Lead S,Projectile Ammo,8,Charge
179,83,Nuclear S,Projectile Ammo,8,Charge
180,83,Proton S,Projectile Ammo,8,Charge
181,83,Depleted Uranium S,Projectile Ammo,8,Charge
182,83,Titanium Sabot S,Projectile Ammo,8,Charge
183,83,Fusion S,Projectile Ammo,8,Charge
184,83,Phased Plasma S,Projectile Ammo,8,Charge
185,83,EMP S,Projectile Ammo,8,Charge
186,83,Carbonized Lead M,Projectile Ammo,8,Charge
187,83,Nuclear M,Projectile Ammo,8,Charge
188,83,Proton M,Projectile Ammo,8,Charge
189,83,Depleted Uranium M,Projectile Ammo,8,Charge
190,83,Titanium Sabot M,Projectile Ammo,8,Charge
191,83,Fusion M,Projectile Ammo,8,Charge
192,83,Phased Plasma M,Projectile Ammo,8,Charge
193,83,EMP M,Projectile Ammo,8,Charge
194,83,Carbonized Lead L,Projectile Ammo,8,Charge
195,83,Nuclear L,Projectile Ammo,8,Charge
196,83,Proton L,Projectile Ammo,8,Charge
197,83,Depleted Uranium L,Projectile Ammo,8,Charge
198,83,Titanium Sabot L,Projectile Ammo,8,Charge
199,83,Fusion L,Projectile Ammo,8,Charge
200,83,Phased Plasma L,Projectile Ammo,8,Charge
201,83,EMP L,Projectile Ammo,8,Charge
202,386,Mjolnir Cruise Missile,Cruise Missile,8,Charge
203,386,Scourge Cruise Missile,Cruise Missile,8,Charge
204,386,Inferno Cruise Missile,Cruise Missile,8,Charge
205,386,Nova Cruise Missile,Cruise Missile,8,Charge
206,385,Nova Heavy Missile,Heavy Missile,8,Charge
207,385,Mjolnir Heavy Missile,Heavy Missile,8,Charge
208,385,Inferno Heavy Missile,Heavy Missile,8,Charge
209,385,Scourge Heavy Missile,Heavy Missile,8,Charge
210,384,Scourge Light Missile,Light Missile,8,Charge
211,384,Inferno Light Missile,Light Missile,8,Charge
212,384,Mjolnir Light Missile,Light Missile,8,Charge
213,384,Nova Light Missile,Light Missile,8,Charge
215,85,Iron Charge S,Hybrid Charge,8,Charge
216,85,Tungsten Charge S,Hybrid Charge,8,Charge
217,85,Iridium Charge S,Hybrid Charge,8,Charge
218,85,Lead Charge S,Hybrid Charge,8,Charge
219,85,Thorium Charge S,Hybrid Charge,8,Charge
220,85,Uranium Charge S,Hybrid Charge,8,Charge
221,85,Plutonium Charge S,Hybrid Charge,8,Charge
222,85,Antimatter Charge S,Hybrid Charge,8,Charge
223,85,Iron Charge M,Hybrid Charge,8,Charge
224,85,Tungsten Charge M,Hybrid Charge,8,Charge
225,85,Iridium Charge M,Hybrid Charge,8,Charge
226,85,Lead Charge M,Hybrid Charge,8,Charge
227,85,Thorium Charge M,Hybrid Charge,8,Charge
228,85,Uranium Charge M,Hybrid Charge,8,Charge
229,85,Plutonium Charge M,Hybrid Charge,8,Charge
230,85,Antimatter Charge M,Hybrid Charge,8,Charge
231,85,Iron Charge L,Hybrid Charge,8,Charge
232,85,Tungsten Charge L,Hybrid Charge,8,Charge
233,85,Iridium Charge L,Hybrid Charge,8,Charge
234,85,Lead Charge L,Hybrid Charge,8,Charge
235,85,Thorium Charge L,Hybrid Charge,8,Charge
236,85,Uranium Charge L,Hybrid Charge,8,Charge
237,85,Plutonium Charge L,Hybrid Charge,8,Charge
238,85,Antimatter Charge L,Hybrid Charge,8,Charge
239,86,Radio S,Frequency Crystal,8,Charge
240,86,Microwave S,Frequency Crystal,8,Charge
241,86,Infrared S,Frequency Crystal,8,Charge
242,86,Standard S,Frequency Crystal,8,Charge
243,86,Ultraviolet S,Frequency Crystal,8,Charge
244,86,Xray S,Frequency Crystal,8,Charge
245,86,Gamma S,Frequency Crystal,8,Charge
246,86,Multifrequency S,Frequency Crystal,8,Charge
247,86,Radio M,Frequency Crystal,8,Charge
248,86,Microwave M,Frequency Crystal,8,Charge
249,86,Infrared M,Frequency Crystal,8,Charge
250,86,Standard M,Frequency Crystal,8,Charge
251,86,Ultraviolet M,Frequency Crystal,8,Charge
252,86,Xray M,Frequency Crystal,8,Charge
253,86,Gamma M,Frequency Crystal,8,Charge
254,86,Multifrequency M,Frequency Crystal,8,Charge
255,86,Radio L,Frequency Crystal,8,Charge
256,86,Microwave L,Frequency Crystal,8,Charge
257,86,Infrared L,Frequency Crystal,8,Charge
258,86,Standard L,Frequency Crystal,8,Charge
259,86,Ultraviolet L,Frequency Crystal,8,Charge
260,86,Xray L,Frequency Crystal,8,Charge
261,86,Gamma L,Frequency Crystal,8,Charge
262,86,Multifrequency L,Frequency Crystal,8,Charge
263,87,Cap Booster 25,Capacitor Booster Charge,8,Charge
264,87,Cap Booster 50,Capacitor Booster Charge,8,Charge
265,1158,Heavy Defender Missile I,Heavy Defender Missile,8,Charge
266,387,Scourge Rocket,Rocket,8,Charge
267,89,Scourge Torpedo,Torpedo,8,Charge
269,394,Mjolnir Auto-Targeting Light Missile I,Auto-Targeting Light Missile,8,Charge
270,92,Python Mine,Mine,8,Charge
377,38,Small Shield Extender I,Shield Extender,7,Module
380,38,Small Shield Extender II,Shield Extender,7,Module
393,39,Shield Recharger I,Shield Recharger,7,Module
394,39,Shield Recharger II,Shield Recharger,7,Module
399,40,Small Shield Booster I,Shield Booster,7,Module
400,40,Small Shield Booster II,Shield Booster,7,Module
405,41,'Micro' Remote Shield Booster,Remote Shield Booster,7,Module
406,41,Micro Remote Shield Booster II,Remote Shield Booster,7,Module
421,43,'Basic' Capacitor Recharger,Capacitor Recharger,7,Module
434,46,5MN Microwarpdrive I,Propulsion Module,7,Module
438,46,1MN Afterburner II,Propulsion Module,7,Module
439,46,1MN Afterburner I,Propulsion Module,7,Module
440,46,5MN Microwarpdrive II,Propulsion Module,7,Module
442,47,Cargo Scanner I,Cargo Scanner,7,Module
443,48,Ship Scanner I,Ship Scanner,7,Module
444,49,Survey Scanner I,Survey Scanner,7,Module
447,52,Warp Scrambler I,Warp Scrambler,7,Module
448,52,Warp Scrambler II,Warp Scrambler,7,Module
450,53,Gatling Pulse Laser I,Energy Weapon,7,Module
451,53,Dual Light Pulse Laser I,Energy Weapon,7,Module
452,53,Dual Light Beam Laser I,Energy Weapon,7,Module
453,53,Small Focused Pulse Laser I,Energy Weapon,7,Module
